UNIPROT,has,description
up:Q9Y6V0,hsa:27445,PCLO; piccolo presynaptic cytomatrix protein
up:Q9Y6V0,hsa:27445,PCLO; piccolo presynaptic cytomatrix protein
up:Q9Y6V0,hsa:27445,PCLO; piccolo presynaptic cytomatrix protein
up:Q9Y6V0,hsa:27445,PCLO; piccolo presynaptic cytomatrix protein
up:Q9Y6X6,hsa:23026,MYO16; myosin XVI
up:Q96HH4,hsa:92691,TMEM169; transmembrane protein 169
up:O14880,hsa:4259,MGST3; microsomal glutathione S-transferase 3
up:O14880,hsa:4259,MGST3; microsomal glutathione S-transferase 3
up:Q96C11,hsa:55277,FGGY; FGGY carbohydrate kinase domain containing
up:P05141,hsa:292,SLC25A5; solute carrier family 25 member 5
up:P18146,hsa:1958,EGR1; early growth response 1
up:P39748,hsa:2237,FEN1; flap structure-specific endonuclease 1
up:P48637,hsa:2937,GSS; glutathione synthetase
up:P48637,hsa:2937,GSS; glutathione synthetase
up:P48637,hsa:2937,GSS; glutathione synthetase
up:P48637,hsa:2937,GSS; glutathione synthetase
up:P48637,hsa:2937,GSS; glutathione synthetase
up:P48637,hsa:2937,GSS; glutathione synthetase
up:P50607,hsa:7275,TUB; TUB bipartite transcription factor
up:P50607,hsa:7275,TUB; TUB bipartite transcription factor
up:P50607,hsa:7275,TUB; TUB bipartite transcription factor
up:P50607,hsa:7275,TUB; TUB bipartite transcription factor
up:Q16342,hsa:5134,PDCD2; programmed cell death 2
up:Q5RKV6,hsa:118460,EXOSC6; exosome component 6
up:Q86SX6,hsa:51218,GLRX5; glutaredoxin 5
up:Q86X76,hsa:4817,NIT1; nitrilase 1
up:Q86X76,hsa:4817,NIT1; nitrilase 1
up:Q86X76,hsa:4817,NIT1; nitrilase 1
up:Q86X76,hsa:4817,NIT1; nitrilase 1
up:Q8IYW2,hsa:54777,CFAP46; cilia and flagella associated protein 46
up:Q92506,hsa:7923,HSD17B8; hydroxysteroid 17-beta dehydrogenase 8
up:Q92506,hsa:7923,HSD17B8; hydroxysteroid 17-beta dehydrogenase 8
up:Q92506,hsa:7923,HSD17B8; hydroxysteroid 17-beta dehydrogenase 8
up:Q92506,hsa:7923,HSD17B8; hydroxysteroid 17-beta dehydrogenase 8
up:Q92552,hsa:23107,MRPS27; mitochondrial ribosomal protein S27
up:Q92600,hsa:9125,CNOT9; CCR4-NOT transcription complex subunit 9
up:Q92600,hsa:9125,CNOT9; CCR4-NOT transcription complex subunit 9
up:Q96A35,hsa:79590,MRPL24; mitochondrial ribosomal protein L24
up:Q96A35,hsa:79590,MRPL24; mitochondrial ribosomal protein L24
up:Q96BI1,hsa:5002,SLC22A18; solute carrier family 22 member 18
up:Q96GQ5,hsa:64755,RUSF1; RUS family member 1
up:Q96NT0,hsa:84317,CCDC115; coiled-coil domain containing 115
up:Q99623,hsa:11331,PHB2; prohibitin 2
up:Q9BVM2,hsa:25911,DPCD; deleted in primary ciliary dyskinesia homolog (mouse)
up:Q9BVM2,hsa:25911,DPCD; deleted in primary ciliary dyskinesia homolog (mouse)
up:Q9H147,hsa:116092,DNTTIP1; deoxynucleotidyltransferase terminal interacting protein 1
up:Q9H147,hsa:116092,DNTTIP1; deoxynucleotidyltransferase terminal interacting protein 1
up:Q9H147,hsa:116092,DNTTIP1; deoxynucleotidyltransferase terminal interacting protein 1
up:Q9H444,hsa:128866,CHMP4B; charged multivesicular body protein 4B
up:Q9H444,hsa:128866,CHMP4B; charged multivesicular body protein 4B
up:Q9HBM0,hsa:55591,"VEZT; vezatin, adherens junctions transmembrane protein"
up:Q9NUI1,hsa:26063,"DECR2; 2,4-dienoyl-CoA reductase 2"
up:Q9NVS2,hsa:55168,MRPS18A; mitochondrial ribosomal protein S18A
up:Q9UBE0,hsa:10055,SAE1; SUMO1 activating enzyme subunit 1
up:Q9UPX8,hsa:22941,SHANK2; SH3 and multiple ankyrin repeat domains 2
up:Q9UPX8,hsa:22941,SHANK2; SH3 and multiple ankyrin repeat domains 2
up:Q9Y4Z0,hsa:25804,"LSM4; LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated"
up:Q9Y5Y5,hsa:9409,PEX16; peroxisomal biogenesis factor 16
up:Q9Y6B7,hsa:10717,AP4B1; adaptor related protein complex 4 subunit beta 1
up:Q9Y6B7,hsa:10717,AP4B1; adaptor related protein complex 4 subunit beta 1
up:Q9Y6B7,hsa:10717,AP4B1; adaptor related protein complex 4 subunit beta 1
up:O43766,hsa:11019,LIAS; lipoic acid synthetase
up:O94777,hsa:8818,"DPM2; dolichyl-phosphate mannosyltransferase subunit 2, regulatory"
up:O95831,hsa:9131,AIFM1; apoptosis inducing factor mitochondria associated 1
up:O95831,hsa:9131,AIFM1; apoptosis inducing factor mitochondria associated 1
up:P13073,hsa:1327,COX4I1; cytochrome c oxidase subunit 4I1
up:P13073,hsa:1327,COX4I1; cytochrome c oxidase subunit 4I1
up:P36542,hsa:509,ATP5F1C; ATP synthase F1 subunit gamma
up:P61923,hsa:22818,COPZ1; COPI coat complex subunit zeta 1
up:Q02338,hsa:622,BDH1; 3-hydroxybutyrate dehydrogenase 1
up:Q02338,hsa:622,BDH1; 3-hydroxybutyrate dehydrogenase 1
up:Q02338,hsa:622,BDH1; 3-hydroxybutyrate dehydrogenase 1
up:Q12879,hsa:2903,GRIN2A; glutamate ionotropic receptor NMDA type subunit 2A
up:Q3YBR2,hsa:84897,TBRG1; transforming growth factor beta regulator 1
up:Q3YBR2,hsa:84897,TBRG1; transforming growth factor beta regulator 1
up:Q7L5N1,hsa:10980,COPS6; COP9 signalosome subunit 6
up:Q8N5Z0,hsa:51166,AADAT; aminoadipate aminotransferase
up:Q8N5Z0,hsa:51166,AADAT; aminoadipate aminotransferase
up:Q8N5Z0,hsa:51166,AADAT; aminoadipate aminotransferase
up:Q8N5Z0,hsa:51166,AADAT; aminoadipate aminotransferase
up:Q8N5Z0,hsa:51166,AADAT; aminoadipate aminotransferase
up:Q96GY0,hsa:51101,ZC2HC1A; zinc finger C2HC-type containing 1A
up:Q9C0E8,hsa:80856,"LNPK; lunapark, ER junction formation factor"
up:Q9H165,hsa:53335,BCL11A; BAF chromatin remodeling complex subunit BCL11A
up:Q9UNM6,hsa:5719,"PSMD13; proteasome 26S subunit, non-ATPase 13"
up:P45954,hsa:36,ACADSB; acyl-CoA dehydrogenase short/branched chain
up:Q16594,hsa:6880,TAF9; TATA-box binding protein associated factor 9
up:Q16594,hsa:6880,TAF9; TATA-box binding protein associated factor 9
up:Q8IX29,hsa:157574,FBXO16; F-box protein 16
up:Q8TC21,hsa:169270,ZNF596; zinc finger protein 596
up:Q8TC21,hsa:169270,ZNF596; zinc finger protein 596
up:Q8TC21,hsa:169270,ZNF596; zinc finger protein 596
up:Q8WXU2,hsa:161582,DNAAF4; dynein axonemal assembly factor 4
up:Q969T4,hsa:10477,UBE2E3; ubiquitin conjugating enzyme E2 E3
up:Q99598,hsa:7257,TSNAX; translin associated factor X
up:Q9BUK6,hsa:55154,MSTO1; misato mitochondrial distribution and morphology regulator 1
up:Q9NTZ6,hsa:10137,RBM12; RNA binding motif protein 12
up:Q9P0S2,hsa:51241,COX16; cytochrome c oxidase assembly factor COX16
up:Q9Y296,hsa:51399,TRAPPC4; trafficking protein particle complex subunit 4
up:O00258,hsa:7485,GET1; guided entry of tail-anchored proteins factor 1
up:O75554,hsa:11193,WBP4; WW domain binding protein 4
up:O95707,hsa:10775,"POP4; POP4 homolog, ribonuclease P/MRP subunit"
up:O95707,hsa:10775,"POP4; POP4 homolog, ribonuclease P/MRP subunit"
up:O95707,hsa:10775,"POP4; POP4 homolog, ribonuclease P/MRP subunit"
up:P42704,hsa:10128,LRPPRC; leucine rich pentatricopeptide repeat containing
up:Q02880,hsa:7155,TOP2B; DNA topoisomerase II beta
up:Q02880,hsa:7155,TOP2B; DNA topoisomerase II beta
up:Q02880,hsa:7155,TOP2B; DNA topoisomerase II beta
up:Q12829,hsa:10966,"RAB40B; RAB40B, member RAS oncogene family"
up:Q15738,hsa:50814,NSDHL; NAD(P) dependent steroid dehydrogenase-like
up:Q5TBB1,hsa:79621,RNASEH2B; ribonuclease H2 subunit B
up:Q5TBB1,hsa:79621,RNASEH2B; ribonuclease H2 subunit B
up:Q86XK2,hsa:80204,FBXO11; F-box protein 11
up:Q8N1E6,hsa:144699,FBXL14; F-box and leucine rich repeat protein 14
up:Q8N1E6,hsa:144699,FBXL14; F-box and leucine rich repeat protein 14
up:Q8N1E6,hsa:144699,FBXL14; F-box and leucine rich repeat protein 14
up:Q8N1E6,hsa:144699,FBXL14; F-box and leucine rich repeat protein 14
up:Q8N8R7,hsa:120534,ARL14EP; ADP ribosylation factor like GTPase 14 effector protein
up:Q92624,hsa:10513,APPBP2; amyloid beta precursor protein binding protein 2
up:Q92624,hsa:10513,APPBP2; amyloid beta precursor protein binding protein 2
up:Q96JJ7,hsa:54495,TMX3; thioredoxin related transmembrane protein 3
up:Q96JJ7,hsa:54495,TMX3; thioredoxin related transmembrane protein 3
up:Q9H8J5,hsa:54682,MANSC1; MANSC domain containing 1
up:Q9H8J5,hsa:54682,MANSC1; MANSC domain containing 1
up:Q9HBI5,hsa:57415,C3orf14; chromosome 3 open reading frame 14
up:Q9HBI5,hsa:57415,C3orf14; chromosome 3 open reading frame 14
up:Q9P291,hsa:51309,ARMCX1; armadillo repeat containing X-linked 1
up:Q9Y3E1,hsa:50810,HDGFL3; HDGF like 3
up:P23434,hsa:2653,GCSH; glycine cleavage system protein H
up:Q96NR8,hsa:145226,RDH12; retinol dehydrogenase 12
up:Q9NQE7,hsa:10279,PRSS16; serine protease 16
up:Q9NQE7,hsa:10279,PRSS16; serine protease 16
up:P10586,hsa:5792,PTPRF; protein tyrosine phosphatase receptor type F
up:P32119,hsa:7001,PRDX2; peroxiredoxin 2
up:P51649,hsa:7915,ALDH5A1; aldehyde dehydrogenase 5 family member A1
up:P51649,hsa:7915,ALDH5A1; aldehyde dehydrogenase 5 family member A1
up:P51649,hsa:7915,ALDH5A1; aldehyde dehydrogenase 5 family member A1
up:P51649,hsa:7915,ALDH5A1; aldehyde dehydrogenase 5 family member A1
up:Q5T5Y3,hsa:157922,CAMSAP1; calmodulin regulated spectrin associated protein 1
up:Q5T5Y3,hsa:157922,CAMSAP1; calmodulin regulated spectrin associated protein 1
up:Q69YN2,hsa:55280,CWF19L1; CWF19 like cell cycle control factor 1
up:Q96RR4,hsa:10645,CAMKK2; calcium/calmodulin dependent protein kinase kinase 2
up:Q9NQU5,hsa:56924,PAK6; p21 (RAC1) activated kinase 6
up:Q9NQU5,hsa:56924,PAK6; p21 (RAC1) activated kinase 6
up:Q9NQU5,hsa:56924,PAK6; p21 (RAC1) activated kinase 6
up:P21695,hsa:2819,GPD1; glycerol-3-phosphate dehydrogenase 1
up:Q8N3I7,hsa:129880,BBS5; Bardet-Biedl syndrome 5
up:Q96Q27,hsa:51676,ASB2; ankyrin repeat and SOCS box containing 2
up:Q9BZA7,hsa:27328,PCDH11X; protocadherin 11 X-linked
up:Q9BZA7,hsa:27328,PCDH11X; protocadherin 11 X-linked
up:Q9BZA7,hsa:27328,PCDH11X; protocadherin 11 X-linked
up:Q9BZA7,hsa:27328,PCDH11X; protocadherin 11 X-linked
up:Q9BZA7,hsa:27328,PCDH11X; protocadherin 11 X-linked
up:Q9BZA7,hsa:27328,PCDH11X; protocadherin 11 X-linked
up:Q9BZA7,hsa:27328,PCDH11X; protocadherin 11 X-linked
up:Q9BZA7,hsa:27328,PCDH11X; protocadherin 11 X-linked
up:Q9P1V8,hsa:161394,SAMD15; sterile alpha motif domain containing 15
up:Q9P1V8,hsa:161394,SAMD15; sterile alpha motif domain containing 15
up:Q9P1V8,hsa:161394,SAMD15; sterile alpha motif domain containing 15
up:Q9ULX7,hsa:23632,CA14; carbonic anhydrase 14
up:Q9ULX7,hsa:23632,CA14; carbonic anhydrase 14
up:Q9ULX7,hsa:23632,CA14; carbonic anhydrase 14
up:O15442,hsa:758,MPPED1; metallophosphoesterase domain containing 1
up:O60232,hsa:10534,ZNRD2; zinc ribbon domain containing 2
up:O94818,hsa:8715,NOL4; nucleolar protein 4
up:O94818,hsa:8715,NOL4; nucleolar protein 4
up:O96011,hsa:8799,PEX11B; peroxisomal biogenesis factor 11 beta
up:O96011,hsa:8799,PEX11B; peroxisomal biogenesis factor 11 beta
up:O96011,hsa:8799,PEX11B; peroxisomal biogenesis factor 11 beta
up:O14949,hsa:27089,UQCRQ; ubiquinol-cytochrome c reductase complex III subunit VII
up:O15403,hsa:9120,SLC16A6; solute carrier family 16 member 6
up:O15403,hsa:9120,SLC16A6; solute carrier family 16 member 6
up:O15403,hsa:9120,SLC16A6; solute carrier family 16 member 6
up:O43768,hsa:2029,ENSA; endosulfine alpha
up:O75340,hsa:10016,PDCD6; programmed cell death 6
up:O95182,hsa:4701,NDUFA7; NADH:ubiquinone oxidoreductase subunit A7
up:O95456,hsa:8624,PSMG1; proteasome assembly chaperone 1
up:O95671,hsa:8623,ASMTL; acetylserotonin O-methyltransferase like
up:P05164,hsa:4353,MPO; myeloperoxidase
up:P05164,hsa:4353,MPO; myeloperoxidase
up:P10599,hsa:7295,TXN; thioredoxin
up:P10599,hsa:7295,TXN; thioredoxin
up:P10636,hsa:4137,MAPT; microtubule associated protein tau
up:P10636,hsa:4137,MAPT; microtubule associated protein tau
up:P22695,hsa:7385,UQCRC2; ubiquinol-cytochrome c reductase core protein 2
up:P23942,hsa:5961,PRPH2; peripherin 2
up:P23942,hsa:5961,PRPH2; peripherin 2
up:P26440,hsa:3712,IVD; isovaleryl-CoA dehydrogenase
up:P26440,hsa:3712,IVD; isovaleryl-CoA dehydrogenase
up:P41235,hsa:3172,HNF4A; hepatocyte nuclear factor 4 alpha
up:Q13395,hsa:6894,TARBP1; TAR (HIV-1) RNA binding protein 1
up:Q13395,hsa:6894,TARBP1; TAR (HIV-1) RNA binding protein 1
up:Q13395,hsa:6894,TARBP1; TAR (HIV-1) RNA binding protein 1
up:Q16798,hsa:10873,ME3; malic enzyme 3
up:Q2M296,hsa:64779,MTHFSD; methenyltetrahydrofolate synthetase domain containing
up:Q2M296,hsa:64779,MTHFSD; methenyltetrahydrofolate synthetase domain containing
up:Q2M296,hsa:64779,MTHFSD; methenyltetrahydrofolate synthetase domain containing
up:Q49AN0,hsa:1408,CRY2; cryptochrome circadian regulator 2
up:Q49AN0,hsa:1408,CRY2; cryptochrome circadian regulator 2
up:Q49AN0,hsa:1408,CRY2; cryptochrome circadian regulator 2
up:Q49AN0,hsa:1408,CRY2; cryptochrome circadian regulator 2
up:Q49AN0,hsa:1408,CRY2; cryptochrome circadian regulator 2
up:Q49AN0,hsa:1408,CRY2; cryptochrome circadian regulator 2
up:Q49AN0,hsa:1408,CRY2; cryptochrome circadian regulator 2
up:Q5VIR6,hsa:55275,VPS53; VPS53 subunit of GARP complex
up:Q5XUX1,hsa:84261,FBXW9; F-box and WD repeat domain containing 9
up:Q6P2C8,hsa:9442,MED27; mediator complex subunit 27
up:Q86XP3,hsa:11325,DDX42; DEAD-box helicase 42
up:Q86Y79,hsa:138428,PTRH1; peptidyl-tRNA hydrolase 1 homolog
up:Q8TCA0,hsa:55222,LRRC20; leucine rich repeat containing 20
up:Q8TCX1,hsa:51626,DYNC2LI1; dynein cytoplasmic 2 light intermediate chain 1
up:Q8WV16,hsa:26094,DCAF4; DDB1 and CUL4 associated factor 4
up:Q96D05,hsa:219738,FAM241B; family with sequence similarity 241 member B
up:Q96D05,hsa:219738,FAM241B; family with sequence similarity 241 member B
up:Q96D05,hsa:219738,FAM241B; family with sequence similarity 241 member B
up:Q96D05,hsa:219738,FAM241B; family with sequence similarity 241 member B
up:Q96D05,hsa:219738,FAM241B; family with sequence similarity 241 member B
up:Q96L58,hsa:126792,"B3GALT6; beta-1,3-galactosyltransferase 6"
up:Q9H1K0,hsa:64145,"RBSN; rabenosyn, RAB effector"
up:Q9H1K0,hsa:64145,"RBSN; rabenosyn, RAB effector"
up:Q9H300,hsa:55486,PARL; presenilin associated rhomboid like
up:Q9H300,hsa:55486,PARL; presenilin associated rhomboid like
up:Q9H7Z7,hsa:80142,PTGES2; prostaglandin E synthase 2
up:Q9H8W5,hsa:80263,TRIM45; tripartite motif containing 45
up:Q9NQX3,hsa:10243,GPHN; gephyrin
up:Q9NTG7,hsa:23410,SIRT3; sirtuin 3
up:Q9NXR7,hsa:9577,BABAM2; BRISC and BRCA1 A complex member 2
up:Q9NZL4,hsa:23640,HSPBP1; HSPA (Hsp70) binding protein 1
up:Q9NZL4,hsa:23640,HSPBP1; HSPA (Hsp70) binding protein 1
up:Q9NZL4,hsa:23640,HSPBP1; HSPA (Hsp70) binding protein 1
up:Q9NZL4,hsa:23640,HSPBP1; HSPA (Hsp70) binding protein 1
up:Q9P283,hsa:54437,SEMA5B; semaphorin 5B
up:Q9P283,hsa:54437,SEMA5B; semaphorin 5B
up:Q9P2D8,hsa:57578,"UNC79; unc-79 homolog, NALCN channel complex subunit"
up:Q9P2P5,hsa:57520,"HECW2; HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
up:Q9P2W9,hsa:53407,STX18; syntaxin 18
up:Q9Y4P9,hsa:25876,SPEF1; sperm flagellar 1
up:Q9Y4P9,hsa:25876,SPEF1; sperm flagellar 1
up:Q9Y697,hsa:9054,NFS1; NFS1 cysteine desulfurase
up:Q9Y697,hsa:9054,NFS1; NFS1 cysteine desulfurase
up:Q9NWH2,hsa:729515,TMEM242; transmembrane protein 242
up:Q9NWH2,hsa:729515,TMEM242; transmembrane protein 242
up:C9JQI7,hsa:642987,TMEM232; transmembrane protein 232
up:O00232,hsa:5718,"PSMD12; proteasome 26S subunit, non-ATPase 12"
up:P06730,hsa:1977,EIF4E; eukaryotic translation initiation factor 4E
up:P06730,hsa:1977,EIF4E; eukaryotic translation initiation factor 4E
up:P40424,hsa:5087,PBX1; PBX homeobox 1
up:P49917,hsa:3981,LIG4; DNA ligase 4
up:P51668,hsa:7321,UBE2D1; ubiquitin conjugating enzyme E2 D1
up:P53370,hsa:11162,NUDT6; nudix hydrolase 6
up:P53370,hsa:11162,NUDT6; nudix hydrolase 6
up:Q05D32,hsa:51496,CTDSPL2; CTD small phosphatase like 2
up:Q13085,hsa:31,ACACA; acetyl-CoA carboxylase alpha
up:Q13085,hsa:31,ACACA; acetyl-CoA carboxylase alpha
up:Q13085,hsa:31,ACACA; acetyl-CoA carboxylase alpha
up:Q4AE62,hsa:79712,GTDC1; glycosyltransferase like domain containing 1
up:Q4AE62,hsa:79712,GTDC1; glycosyltransferase like domain containing 1
up:Q4AE62,hsa:79712,GTDC1; glycosyltransferase like domain containing 1
up:Q4AE62,hsa:79712,GTDC1; glycosyltransferase like domain containing 1
up:Q4AE62,hsa:79712,GTDC1; glycosyltransferase like domain containing 1
up:Q4AE62,hsa:79712,GTDC1; glycosyltransferase like domain containing 1
up:Q4AE62,hsa:79712,GTDC1; glycosyltransferase like domain containing 1
up:Q5U5X0,hsa:90624,LYRM7; LYR motif containing 7
up:Q75T13,hsa:80055,PGAP1; post-GPI attachment to proteins inositol deacylase 1
up:Q75T13,hsa:80055,PGAP1; post-GPI attachment to proteins inositol deacylase 1
up:Q86XN7,hsa:80209,PROSER1; proline and serine rich 1
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8IUR7,hsa:25852,ARMC8; armadillo repeat containing 8
up:Q8N6D5,hsa:147463,ANKRD29; ankyrin repeat domain 29
up:Q8N6D5,hsa:147463,ANKRD29; ankyrin repeat domain 29
up:Q96SZ5,hsa:84890,ADO; 2-aminoethanethiol dioxygenase
up:Q9H9A6,hsa:55631,LRRC40; leucine rich repeat containing 40
up:Q9H9A6,hsa:55631,LRRC40; leucine rich repeat containing 40
up:Q9H9A6,hsa:55631,LRRC40; leucine rich repeat containing 40
up:Q9H9A6,hsa:55631,LRRC40; leucine rich repeat containing 40
up:Q9H9A6,hsa:55631,LRRC40; leucine rich repeat containing 40
up:Q9H9A6,hsa:55631,LRRC40; leucine rich repeat containing 40
up:Q9H9B4,hsa:94081,SFXN1; sideroflexin 1
up:Q9H9B4,hsa:94081,SFXN1; sideroflexin 1
up:Q9NP73,hsa:79868,ALG13; ALG13 UDP-N-acetylglucosaminyltransferase subunit
up:Q9NP73,hsa:79868,ALG13; ALG13 UDP-N-acetylglucosaminyltransferase subunit
up:Q9NRR3,hsa:56990,CDC42SE2; CDC42 small effector 2
up:Q9P2H3,hsa:57560,IFT80; intraflagellar transport 80
up:Q9Y3C5,hsa:26994,RNF11; ring finger protein 11
up:Q9Y462,hsa:7552,ZNF711; zinc finger protein 711
up:O14649,hsa:3777,KCNK3; potassium two pore domain channel subfamily K member 3
up:P51687,hsa:6821,SUOX; sulfite oxidase
up:Q13114,hsa:7187,TRAF3; TNF receptor associated factor 3
up:Q13114,hsa:7187,TRAF3; TNF receptor associated factor 3
up:Q13114,hsa:7187,TRAF3; TNF receptor associated factor 3
up:Q13114,hsa:7187,TRAF3; TNF receptor associated factor 3
up:Q13114,hsa:7187,TRAF3; TNF receptor associated factor 3
up:Q13507,hsa:7222,TRPC3; transient receptor potential cation channel subfamily C member 3
up:Q13507,hsa:7222,TRPC3; transient receptor potential cation channel subfamily C member 3
up:Q3KP44,hsa:79722,ANKRD55; ankyrin repeat domain 55
up:Q3KP44,hsa:79722,ANKRD55; ankyrin repeat domain 55
up:Q3KRA9,hsa:84964,ALKBH6; alkB homolog 6
up:Q3KRA9,hsa:84964,ALKBH6; alkB homolog 6
up:Q49A26,hsa:84656,GLYR1; glyoxylate reductase 1 homolog
up:Q6ZVM7,hsa:146691,TOM1L2; target of myb1 like 2 membrane trafficking protein
up:Q6ZVM7,hsa:146691,TOM1L2; target of myb1 like 2 membrane trafficking protein
up:Q6ZVM7,hsa:146691,TOM1L2; target of myb1 like 2 membrane trafficking protein
up:Q6ZVM7,hsa:146691,TOM1L2; target of myb1 like 2 membrane trafficking protein
up:Q6ZVM7,hsa:146691,TOM1L2; target of myb1 like 2 membrane trafficking protein
up:Q6ZVM7,hsa:146691,TOM1L2; target of myb1 like 2 membrane trafficking protein
up:Q8IWV2,hsa:152330,CNTN4; contactin 4
up:Q8N3Z6,hsa:84186,ZCCHC7; zinc finger CCHC-type containing 7
up:Q8N4J0,hsa:138199,CARNMT1; carnosine N-methyltransferase 1
up:Q8N4J0,hsa:138199,CARNMT1; carnosine N-methyltransferase 1
up:Q96S66,hsa:23155,CLCC1; chloride channel CLIC like 1
up:Q9H777,hsa:55520,ELAC1; elaC ribonuclease Z 1
up:Q9Y3C7,hsa:51003,MED31; mediator complex subunit 31
up:Q13404,hsa:7335,UBE2V1; ubiquitin conjugating enzyme E2 V1
up:Q13404,hsa:7335,UBE2V1; ubiquitin conjugating enzyme E2 V1
up:Q86V88,hsa:145553,MDP1; magnesium dependent phosphatase 1
up:Q86V88,hsa:145553,MDP1; magnesium dependent phosphatase 1
up:Q86V88,hsa:145553,MDP1; magnesium dependent phosphatase 1
up:Q9BTE6,hsa:80755,AARSD1; alanyl-tRNA synthetase domain containing 1
up:Q9BUD6,hsa:10417,SPON2; spondin 2
up:Q9BUD6,hsa:10417,SPON2; spondin 2
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:A6NMZ7,hsa:131873,COL6A6; collagen type VI alpha 6 chain
up:P10242,hsa:4602,"MYB; MYB proto-oncogene, transcription factor"
up:P54278,hsa:5395,"PMS2; PMS1 homolog 2, mismatch repair system component"
up:Q2TAL6,hsa:375567,VWC2; von Willebrand factor C domain containing 2
up:Q32P51,hsa:144983,HNRNPA1L2; heterogeneous nuclear ribonucleoprotein A1 like 2
up:Q64LD2,hsa:79446,WDR25; WD repeat domain 25
up:Q6NT32,hsa:221223,CES5A; carboxylesterase 5A
up:Q6NT32,hsa:221223,CES5A; carboxylesterase 5A
up:Q6PF18,hsa:283385,MORN3; MORN repeat containing 3
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6UWL6,hsa:84063,KIRREL2; kirre like nephrin family adhesion molecule 2
up:Q6WN34,hsa:25884,CHRDL2; chordin like 2
up:Q6ZQW0,hsa:169355,"IDO2; indoleamine 2,3-dioxygenase 2"
up:Q6ZQW0,hsa:169355,"IDO2; indoleamine 2,3-dioxygenase 2"
up:Q6ZVT6,hsa:200844,CFAP20DC; CFAP20 domain containing
up:Q6ZWH5,hsa:152110,NEK10; NIMA related kinase 10
up:Q9NVE4,hsa:55231,CCDC87; coiled-coil domain containing 87
up:Q9NVE4,hsa:55231,CCDC87; coiled-coil domain containing 87
up:Q9NVE4,hsa:55231,CCDC87; coiled-coil domain containing 87
up:Q9NVE4,hsa:55231,CCDC87; coiled-coil domain containing 87
